Manufacturer,Manufacturer Part Number,Designator,Qty,Description,Case,"SMD ,BGA,LLC(QFN),ORTH",Top/Bottom,points,Total points,polarity,Notes,Comments
Samsung Electro-Mechanics,CL05B103KB5NNNC,"C1, C4",2,10000pF ±10% 50V Ceramic Capacitor X7R 0402,0402,SMD,Top & Bottom,2,4,,Alternative parts accepted upon approval,
Samsung Electro-Mechanics,CL05B104KO5NFNC,"C2, C5, C6, C8, C11-C16, C18-C20",13,0.1µF ±10% 16V Ceramic Capacitor X7R 0402,0402,SMD,Top & Bottom,2,26,,Alternative parts accepted upon approval,
Samsung Electro-Mechanics,CL21B106KPQNFNE,"C3, C9, C21",3,10µF ±10% 10V Ceramic Capacitor X7R 0805,0805,SMD,Top,2,6,,Alternative parts accepted upon approval,
Samsung Electro-Mechanics,CL05C100DB5NNNC,"C7, C10",2,"10pF ±0.5pF 50V Ceramic Capacitor C0G, NP0 0402",0402,SMD,Top,2,4,,Alternative parts accepted upon approval,
Samsung Electro-Mechanics,CL10B105KP8NFNC,"C24, C25",2,1µF ±10% 10V Ceramic Capacitor X7R 0603,0603,SMD,Bottom,2,4,,Alternative parts accepted upon approval,
Rohm Semiconductor,SML-D13M8WT86,D1,1,Green 572nm LED Indication - Discrete 2.2V 0603,0603,SMD,Top,2,2,Yes,Alternative parts accepted upon approval,
Rohm Semiconductor,SML-D12U1WT86,D2,1,Red 620nm LED Indication - Discrete 2.2V 0603,0603,SMD,Top,2,2,Yes,Alternative parts accepted upon approval,
STMicroelectronics,ESDCAN02-2BWY,D3,1,44V Clamp 3A (8/20µs) Ipp Tvs Diode Surface Mount SOT-323-3,SOT-323,SMD,Bottom,3,3,,,
Murata Electronics,BLM15PX601SN1D,FB1-FB3,3,600 Ohms Ferrite Bead 0402 230mOhm,0402,SMD,Top & Bottom,2,6,,Alternative parts accepted upon approval,
Bourns Inc.,CR0402-J/-000GLF,"JP1, JP3, JP5",3,0 Ohms Jumper 0402,0402,SMD,Top,2,6,,Alternative parts accepted upon approval,
,,"JP2, JP4, JP6",3,D.N.P.,,,,,,,,
Molex,0480370001,P1,1,"USB - A USB 2.0 Plug Connector 4 Position Through Hole, Right Angle",USB Header,TH,Top,6,6,,,
Molex,0022057045,P2,1,"Connector Header Through Hole, Right Angle 4 position 0.098"" (2.50mm)",Header 4pin,TH,Top,4,4,,,
Bourns Inc.,CR0402-JW-103GLF,"R1, R2, R10",3,"10 kOhms ±5% 0.063W, 1/16W Chip Resistor 0402",0402,SMD,Top & Bottom,2,6,,Alternative parts accepted upon approval,
Bourns Inc.,CR0402-JW-202GLF,R3,1,"2 kOhms ±5% 0.063W, 1/16W Chip Resistor 0402",0402,SMD,Top,2,2,,Alternative parts accepted upon approval,
Bourns Inc.,CR0402-FX-1202GLF,R4,1,"12 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402",0402,SMD,Top,2,2,,Alternative parts accepted upon approval,
Bourns Inc.,CR0603-JW-181ELF,"R5, R6",2,"180 Ohms ±5% 0.1W, 1/10W Chip Resistor 0603",0603,SMD,Top & Bottom,2,4,,Alternative parts accepted upon approval,
Rohm Semiconductor,ESR03EZPF10R0,"R7, R8",2,10 Ohms ±1% 0.25W 0603 Pulse Withstanding,0603,SMD,Bottom,2,4,,,
Rohm Semiconductor,ESR10EZPF1200,"R9, Rt1",2,120 Ohms ±1% 0.4W 0805  Pulse Withstanding,0805,SMD,Bottom,2,4,,,
Nidec Copal Electronics,CHS-01TA,"SW1, SW2",2,Dip Switch SPST 1 Position Surface Mount Slide (Standard) Actuator 100mA 6VDC,dip switch,SMD,Top & Bottom,2,4,Yes,,
STMicroelectronics,USBLC6-2SC6,U1,1,17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6,SOT-23-6,SMD,Bottom,6,6,Yes,,
Microchip Technology,93LC56BT-I/OT,U2,1,EEPROM Memory IC 2Kb (128 x 16) SPI 2MHz SOT-23-6,SOT-23-6,SMD,Top,6,6,Yes,,
"FTDI, Future Technology Devices International Ltd",FT232HL-REEL,U3,1,"USB Bridge, USB to UART,FIFO USB 2.0 UART, FIFO Interface 48-LQFP (7x7)",48-LQFP (7x7),SMD,Bottom,48,48,Yes,,
Maxim Integrated,MAX14775EASA+,U4,1,"1/1 Transceiver Half RS422, RS485 8-SOIC",8-SOIC,SMD,Top,8,8,Yes,,
STMicroelectronics,STM32L432KBU6,U5,1,ARM® Cortex®-M4 STM32L4 Microcontroller IC 32-Bit 80MHz 128KB (128K x 8) FLASH 32-UFQFPN (5x5),32-UFQFPN (5x5),QFN,Top,33,33,Yes,,
Texas Instruments,TLV70233DBVR,U6,1,Linear Voltage Regulator 3.3V 300mA SOT-23-5,SOT-23-5,SMD,Top,5,5,,,
Abracon LLC,ABM10-166-12.000MHZ-T3,Y1,1,"12MHz ±10ppm Crystal 8pF 125 Ohms 4-SMD, No Lead","4-SMD, 2.50mm x 2.00mm",SMD,Top,4,4,Yes,Alternative parts accepted upon approval,
